unix_time,count_pedestrian,count_parking
1459375200,208919,104453
1459461600,207542,106537
1459548000,183043,85823
1459634400,190718,74646
1459720800,208761,96995
1459807200,211613,101573
1459893600,194662,99184
1459980000,210010,103718
1460066400,206144,106169
1460152800,187343,86320
1460239200,200341,68939
1460325600,217390,95160
1460412000,223639,100208
1460498400,216546,99886
1460584800,210949,102680
1460671200,211512,103888
1460757600,187643,86293
1460844000,193507,69892
1460930400,223003,95589
1461016800,223541,101512
1461103200,226196,100920
1461189600,217825,100960
1461276000,201076,105165
1461362400,187438,81996
1461448800,200373,68425
1461535200,181278,59779
1461621600,211411,97295
1461708000,216060,97068
1461794400,226798,101702
1461880800,225202,102229
1461967200,202785,84975
1462053600,197283,67680
1462140000,214259,94300
1462226400,220177,98474
1462312800,233133,98736
1462399200,228562,101418
1462485600,221673,103370
1462572000,200369,84642
1462658400,208079,68174
1462744800,228629,92551
1462831200,221562,97902
1462917600,228112,97580
1463004000,232498,101145
1463090400,225894,103058
1463176800,196742,83834
1463263200,204468,68056
1463349600,228175,94542
1463436000,230996,99175
1463522400,221935,96842
1463608800,225592,99443
1463695200,226499,102221
1463781600,196888,82869
1463868000,201753,68164
1463954400,223542,92046
1464040800,224609,96481
1464127200,217994,95928
1464213600,222475,97625
1464300000,221749,101836
1464386400,197248,84036
1464472800,201120,67861
1464559200,224134,93037
1464645600,220452,96567
1464732000,217400,98795
1464818400,222577,100199
1464904800,213250,100572
1464991200,190795,82088
1465077600,193781,64647
1465164000,220642,92165
1465250400,227543,97867
1465336800,215030,99088
1465423200,216530,102222
1465509600,216968,104710
1465596000,187614,83816
1465682400,184515,69955
1465768800,168256,59551
1465855200,209062,96606
1465941600,211875,102098
1466028000,218523,101941
1466114400,215331,103179
1466200800,195137,85556
1466287200,195127,69388
1466373600,202061,96276
1466460000,212296,102104
1466546400,207171,102669
1466632800,213611,104001
1466719200,208307,108626
1466805600,183749,88638
1466892000,182321,71416
1466978400,200826,96208
1467064800,208854,103553
1467151200,208251,104587
1467237600,202230,106797
1467324000,200453,109495
1467410400,187138,86663
1467496800,194710,70914
1467583200,212093,99625
1467669600,195026,100442
1467756000,204618,101840
1467842400,200960,104583
1467928800,209154,110232
1468015200,192323,88250
1468101600,197329,73105
1468188000,213414,99390
1468274400,212921,105399
1468360800,210587,106149
1468447200,211483,107055
1468533600,212315,109661
1468620000,190403,89068
1468706400,182296,70268
1468792800,210847,100713
1468879200,215131,104493
1468965600,217974,104111
1469052000,216284,104730
1469138400,212249,105224
1469224800,192724,86511
1469311200,188735,72611
1469397600,210863,98802
1469484000,216439,104656
1469570400,209329,104919
1469656800,223725,105388
1469743200,224828,107373
1469829600,185737,89128
1469916000,190023,72667
1470002400,202509,98136
1470088800,207243,102038
1470175200,207332,102636
1470261600,217675,104081
1470348000,217035,106645
1470434400,199801,85870
1470520800,196303,71431
1470607200,213695,94546
1470693600,221391,99800
1470780000,211089,101155
1470866400,212529,102376
1470952800,211958,106018
1471039200,176887,83025
1471125600,178987,68621
1471212000,204440,96688
1471298400,205407,101893
1471384800,210387,102563
1471471200,208006,103911
1471557600,206857,105002
1471644000,178775,89239
1471730400,179597,71442
1471816800,199728,95315
1471903200,213537,101957
1471989600,206848,103271
1472076000,203894,103674
1472162400,196642,104955
1472248800,191155,85059
1472335200,183326,71126
1472421600,210970,96918
1472508000,205874,101041
1472594400,218012,101925
1472680800,213409,102193
1472767200,212857,103320
1472853600,192223,84742
1472940000,200467,69002
1473026400,217367,93915
1473112800,219941,99428
1473199200,230686,99248
1473285600,218953,100234
1473372000,212708,100650
1473458400,192391,84079
1473544800,201833,70005
1473631200,211280,92508
1473717600,212053,95773
1473804000,211725,96908
1473890400,216727,98671
1473976800,215338,102722
1474063200,195238,83838
1474149600,187926,69754
1474236000,220484,93832
1474322400,226764,97630
1474408800,219347,98492
1474495200,218972,101830
1474581600,218746,101746
1474668000,198857,81410
1474754400,188127,68839
1474840800,212672,95654
1474927200,205455,98233
1475013600,215561,97472
1475100000,213493,100402
1475186400,192484,68364
1475272800,394318,71397
1475359200,344968,67627
1475445600,416444,90787
1475532000,419088,94953
1475618400,429166,95639
1475704800,422694,97014
1475791200,422008,99346
1475877600,366996,81958
1475964000,367144,66239
1476050400,409994,91885
1476136800,422898,91708
1476223200,417476,87585
1476309600,437656,90584
1476396000,427378,93433
1476482400,373834,77433
1476568800,373132,61748
1476655200,406628,85307
1476741600,419458,88436
1476828000,428394,87748
1476914400,438604,91926
1477000800,415870,96693
1477087200,353060,81303
1477173600,340276,66215
1477260000,397312,91852
1477346400,413556,94981
1477432800,412226,94704
1477519200,428798,93069
1477605600,422334,96132
1477692000,363552,76118
1477778400,363148,64131
1477868400,393056,86212
1477954800,174579,56511
1478041200,203707,89483
1478127600,200461,91131
1478214000,196252,95694
1478300400,173779,78425
1478386800,174773,65314
1478473200,197380,85725
1478559600,202381,90207
1478646000,206863,91576
1478732400,204679,93205
1478818800,198248,94947
1478905200,177050,80193
1478991600,177938,66796
1479078000,187124,89660
1479164400,192907,94684
1479250800,191387,96228
1479337200,193497,100214
1479423600,201416,106065
1479510000,175527,89096
1479596400,175110,72513
1479682800,193001,98857
1479769200,186822,99836
1479855600,196881,100754
1479942000,196520,105843
1480028400,198203,109674
1480114800,178630,88430
1480201200,179176,73079
1480287600,182962,98038
1480374000,202173,101915
1480460400,200643,107480
1480546800,204105,109465
1480633200,198747,113455
1480719600,176406,95638
1480806000,183521,79293
1480892400,197009,106680
1480978800,202697,111470
1481065200,204742,112123
1481151600,201182,111504
1481238000,203421,111504
1481324400,188513,93698
1481410800,179947,77556
1481497200,203322,104433
1481583600,200806,109326
1481670000,203037,110346
1481756400,195604,109701
1481842800,191488,113735
1481929200,183663,95875
1482015600,180320,80495
1482102000,194303,108317
1482188400,192687,113549
1482274800,195613,120167
1482361200,192220,118858
1482447600,200507,119745
1482534000,168940,91998
1482620400,152749,54447
1482706800,153530,62814
1482793200,161540,71334
1482879600,186439,92480
1482966000,183536,94855
1483052400,184316,98202
1483138800,165752,79016
