bay_id,st_marker_id,status,location,lat,lon
4537,10011S,Unoccupied,"(-37.823685442934377, 144.96915773834183)",-37.823685442934377,144.96915773834183
4267,C6866,Unoccupied,"(-37.809434617303708, 144.95583958698757)",-37.809434617303708,144.95583958698757
1212,1433W,Present,"(-37.817774789746196, 144.95623902261158)",-37.817774789746196,144.95623902261158
1213,1435W,Present,"(-37.817725455819478, 144.95621629760279)",-37.817725455819478,144.95621629760279
6084,13233S,Unoccupied,"(-37.819579204105082, 144.94499808074755)",-37.819579204105082,144.94499808074755
1737,2344N,Unoccupied,"(-37.811826061661819, 144.97116208831739)",-37.811826061661819,144.97116208831739
6209,13280N,Unoccupied,"(-37.814803834660829, 144.94539994352607)",-37.814803834660829,144.94539994352607
2003,3426N,Unoccupied,"(-37.810422676670498, 144.96470249305111)",-37.810422676670498,144.96470249305111
6723,2258N,Present,"(-37.81679773348246, 144.95793077845622)",-37.81679773348246,144.95793077845622
3719,7722N,Present,"(-37.803326401755399, 144.95290410890726)",-37.803326401755399,144.95290410890726
6160,13210N,Present,"(-37.81865328479379, 144.94754764102797)",-37.81865328479379,144.94754764102797
4183,C6636,Present,"(-37.808497169738629, 144.95928147553542)",-37.808497169738629,144.95928147553542
5397,11760E,Unoccupied,"(-37.810018940287165, 144.97570546750245)",-37.810018940287165,144.97570546750245
1373,1530E,Present,"(-37.817451586906301, 144.95354049440428)",-37.817451586906301,144.95354049440428
2394,3250N,Unoccupied,"(-37.814163515964069, 144.95540971233495)",-37.814163515964069,144.95540971233495
5650,12295S,Unoccupied,"(-37.80979975860717, 144.9773145450211)",-37.80979975860717,144.9773145450211
5475,11873W,Unoccupied,"(-37.811400379728866, 144.97795000660048)",-37.811400379728866,144.97795000660048
6835,14030E,Unoccupied,"(-37.796913802209765, 144.95811311515331)",-37.796913802209765,144.95811311515331
850,562E,Unoccupied,"(-37.809338375211532, 144.96942998120966)",-37.809338375211532,144.96942998120966
2673,10182E,Unoccupied,"(-37.80400183516052, 144.9495507132346)",-37.80400183516052,144.9495507132346
3896,C5704,Unoccupied,"(-37.806090887120902, 144.9551120658553)",-37.806090887120902,144.9551120658553
4540,10017S,Unoccupied,"(-37.82374076105183, 144.96896633799761)",-37.82374076105183,144.96896633799761
5069,9846N,Unoccupied,"(-37.825168430880197, 144.96994074837238)",-37.825168430880197,144.96994074837238
1228,1453W,Unoccupied,"(-37.81684014075865, 144.95581343856622)",-37.81684014075865,144.95581343856622
1372,1528E,Present,"(-37.817502489436151, 144.9535639188411)",-37.817502489436151,144.9535639188411
1375,1534E,Unoccupied,"(-37.817348526763112, 144.95349308571355)",-37.817348526763112,144.95349308571355
2290,2686N,Present,"(-37.809737084182004, 144.97061109534633)",-37.809737084182004,144.97061109534633
